Date,Price
09-Nov-20,5360
17-Nov-20,5410
10-Dec-20,5200
21-Feb-21,4920
10-Mar-21,4720
19-Mar-21,4760
26-Mar-21,4720
30-Mar-21,4700
22-Apr-21,5060
01-May-21,4950
14-May-21,5070
15-Jun-21,5140
17-Jun-21,4990
05-Jul-21,5010
10-Aug-21,4890
12-Sep-21,4970
10-Oct-21,4970
14-Mar-22,5690
24-Mar-22,5630
25-Mar-22,5451.4
30-Mar-22,5373.8
02-Apr-22,5540
04-Apr-22,5305.9
13-Apr-22,5480.5
12-Dec-22,5760
03-Feb-23,6004.3
06-Feb-23,6080
10-Feb-23,6070
11-Feb-23,5897.6
28-Feb-23,5732.7
30-Mar-23,6360
03-Apr-23,6120.7
01-Jun-23,6130.4
09-Jun-23,6149.8
22-Jun-23,6023.7
29-Jun-23,5984.9
24-Jul-23,6111
03-Aug-23,6091.6
08-Aug-23,6111
10-Aug-23,6270
20-Sep-23,6101.3
27-Sep-23,6033.4
01-Oct-23,6060
19-Oct-23,6340
04-Nov-23,5800.6
06-Jan-24,6481.53
07-Jan-24,6481.53
08-Jan-24,6421.61
09-Jan-24,6419.35
10-Jan-24,6403.32
11-Jan-24,6384.82
12-Jan-24,6463.36
13-Jan-24,6477.37
14-Jan-24,6477.92
15-Jan-24,6479.19
16-Jan-24,6412.27
17-Jan-24,6361.42
18-Jan-24,6406.61
19-Jan-24,6429.62
20-Jan-24,6447.23
21-Jan-24,6447.23
22-Jan-24,6414.9
23-Jan-24,6432.18
24-Jan-24,6413.33
25-Jan-24,6427.27
26-Jan-24,6423.99
27-Jan-24,6432.9
28-Jan-24,6432.9
29-Jan-24,6446.39
30-Jan-24,6463.43
31-Jan-24,6501.86
01-Feb-24,6512.45
02-Feb-24,6466.14
03-Feb-24,6481.28
04-Feb-24,6481.28
05-Feb-24,6444.34
06-Feb-24,6465.68
07-Feb-24,6462.9
08-Feb-24,6433.66
09-Feb-24,6435.59
10-Feb-24,6435.57
11-Feb-24,6435.57
12-Feb-24,6415.87
13-Feb-24,6344.52
14-Feb-24,6341.23
15-Feb-24,6368.52
16-Feb-24,6374.65
17-Feb-24,6384.47
18-Feb-24,6384.47
19-Feb-24,6393.48
20-Feb-24,6413.8
21-Feb-24,6384
22-Feb-24,6412
