Date,Time,Price

03/22/24,11:26:30,6835.81

03/22/24,11:26:41,6837.38

03/22/24,11:27:46,6836.6

03/22/24,11:40:42,6832.38

03/22/24,11:48:26,6832.38
03/22/24,12:17:03,6832.94
03/22/24,12:17:16,6832.94
03/22/24,12:25:47,6826.82
03/22/24,12:26:23,6826.82
03/22/24,12:27:14,6826.82
03/22/24,12:27:39,6827.46
03/22/24,14:15:17,6814.52
03/22/24,14:27:41,6814.16
03/22/24,15:27:40,6816.54
03/24/24,15:03:40,6843.84
03/25/24,09:47:20,6853.15
03/26/24,09:33:53,6824.61
03/26/24,09:35:45,6824.34
03/26/24,09:35:50,6824.34
03/26/24,09:36:55,6825.24
03/26/24,10:51:21,6830.23
03/26/24,13:37:32,6829.37
03/26/24,14:37:33,6849.31
03/26/24,17:39:48,6914.08
03/26/24,19:00:44,6892.97
03/28/24,08:50:21,6917.92
